Dataset,true_labels,pred_probs,pred_labels
Dataset2---Internal Testing,1,0.703918578,1
Dataset2---Internal Testing,1,0.9999,1
Dataset2---Internal Testing,1,0.9999,1
Dataset2---Internal Testing,1,0.9999,1
Dataset2---Internal Testing,1,0.9999,1
Dataset2---Internal Testing,1,0.9999,1
Dataset2---Internal Testing,1,0.9999,1
Dataset2---Internal Testing,1,0.287120686,0
Dataset2---Internal Testing,0,0.095315314,0
Dataset2---Internal Testing,1,0.14919812,0
Dataset2---Internal Testing,0,0.071361224,0
Dataset2---Internal Testing,0,0.048135668,0
Dataset2---Internal Testing,0,0.106299581,0
Dataset2---Internal Testing,0,0.254566443,0
Dataset2---Internal Testing,0,0.19413637,0
Dataset2---Internal Testing,0,0.186205023,0
Dataset2---Internal Testing,0,0.158347769,0
Dataset2---Internal Testing,0,0.09020145,0
Dataset2---Internal Testing,0,0.0978994,0
Dataset2---Internal Testing,0,0.205317135,0
Dataset2---Internal Testing,0,0.555761308,1
Dataset2---Internal Testing,0,0.481987395,0
Dataset2---Internal Testing,0,0.265302265,0
Dataset2---Internal Testing,0,0.216770258,0
Dataset2---Internal Testing,0,0.650236481,1
Dataset2---Internal Testing,0,0.314357113,0
Dataset2---Internal Testing,0,0.204909984,0
Dataset2---Internal Testing,1,0.9999,1
Dataset2---Internal Testing,1,0.922887609,1
Dataset2---Internal Testing,1,0.783016687,1
Dataset2---Internal Testing,1,0.724115261,1
Dataset2---Internal Testing,0,0.199439077,0
Dataset2---Internal Testing,0,0.104915686,0
Dataset2---Internal Testing,0,0.066237014,0
Dataset2---Internal Testing,0,0.092582366,0
Dataset2---Internal Testing,0,0.055403151,0
Dataset2---Internal Testing,0,0.064254564,0
Dataset2---Internal Testing,0,0.121506435,0
Dataset2---Internal Testing,0,0.059138426,0
Dataset2---Internal Testing,0,0.034223562,0
Dataset2---Internal Testing,0,0.065828864,0
Dataset2---Internal Testing,1,0.219497883,0
Dataset2---Internal Testing,0,0.165507821,0
Dataset2---Internal Testing,1,0.9999,1
Dataset2---Internal Testing,1,0.728056711,1
Dataset2---Internal Testing,0,0.135663843,0
Dataset2---Internal Testing,1,0.765442085,1
Dataset2---Internal Testing,0,0.207079347,0
Dataset2---Internal Testing,0,0.25805429,0
Dataset2---Internal Testing,0,0.138351345,0
Dataset2---Internal Testing,1,0.9999,1
Dataset2---Internal Testing,0,0.105217778,0
Dataset2---Internal Testing,0,0.09416652,0
Dataset2---Internal Testing,0,0.049596443,0
Dataset2---Internal Testing,0,0.29112748,0
Dataset2---Internal Testing,0,0.21389027,0
Dataset2---Internal Testing,0,0.210001507,0
Dataset2---Internal Testing,0,0.126537273,0
Dataset2---Internal Testing,1,0.963110046,1
Dataset2---Internal Testing,0,0.127946708,0
Dataset2---Internal Testing,0,0.308987255,0
Dataset2---Internal Testing,0,0.211822727,0
Dataset2---Internal Testing,0,0.156913963,0
Dataset2---Internal Testing,1,0.9999,1
Dataset2---Internal Testing,1,0.9999,1
Dataset2---Internal Testing,1,0.801168003,1
Dataset2---Internal Testing,1,0.753380337,1
Dataset2---Internal Testing,0,0.045880338,0
Dataset2---Internal Testing,0,0.034508444,0
Dataset2---Internal Testing,0,0.064365773,0
Dataset2---Internal Testing,0,0.04321105,0
Dataset2---Internal Testing,1,0.9999,1
Dataset2---Internal Testing,1,0.9999,1
Dataset2---Internal Testing,0,0.569249837,1
Dataset2---Internal Testing,0,0.877639997,1
Dataset2---Internal Testing,1,0.981189933,1
Dataset2---Internal Testing,1,0.799810134,1
Dataset2---Internal Testing,0,0.312526555,0
Dataset2---Internal Testing,1,0.9999,1
Dataset2---Internal Testing,0,0.166474691,0
Dataset2---Internal Testing,0,0.157759485,0
Dataset2---Internal Testing,0,0.094758186,0
Dataset2---Internal Testing,0,0.279385667,0
Dataset2---Internal Testing,0,0.207530253,0
Dataset2---Internal Testing,0,0.176332196,0
Dataset2---Internal Testing,0,0.123374294,0
Dataset2---Internal Testing,0,0.101609329,0
Dataset2---Internal Testing,0,0.085723161,0
Dataset2---Internal Testing,1,0.905175433,1
Dataset2---Internal Testing,1,0.885025354,1
Dataset2---Internal Testing,0,0.094681942,0
Dataset2---Internal Testing,0,0.081171637,0
Dataset2---Internal Testing,0,0.062925982,0
Dataset2---Internal Testing,0,0.505140936,1
Dataset2---Internal Testing,0,0.236625086,0
Dataset2---Internal Testing,0,0.03761904,0
Dataset2---Internal Testing,0,0.129307443,0
Dataset2---Internal Testing,0,0.11018009,0
Dataset2---Internal Testing,0,0.062711925,0
Dataset2---Internal Testing,0,0.044574442,0
Dataset2---Internal Testing,0,0.075141905,0
Dataset2---Internal Testing,0,0.034545036,0
Dataset2---Internal Testing,1,0.815079015,1
Dataset2---Internal Testing,1,0.729660786,1
Dataset2---Internal Testing,0,0.239514296,0
Dataset2---Internal Testing,0,0.165098221,0
Dataset2---Internal Testing,0,0.074403994,0
Dataset2---Internal Testing,0,0.082106074,0
Dataset2---Internal Testing,0,0.104553069,0
Dataset2---Internal Testing,0,0.102929834,0
Dataset2---Internal Testing,0,0.038521404,0
Dataset2---Internal Testing,0,0.056689706,0
Dataset2---Internal Testing,0,0.047877309,0
Dataset2---Internal Testing,1,0.167333876,0
Dataset2---Internal Testing,0,0.056321386,0
Dataset2---Internal Testing,0,0.081764871,0
Dataset2---Internal Testing,0,0.181763691,0
Dataset2---Internal Testing,0,0.071085452,0
Dataset2---Internal Testing,1,0.9999,1
Dataset2---Internal Testing,1,0.9999,1
Dataset2---Internal Testing,1,0.910689605,1
Dataset2---Internal Testing,0,0.087091306,0
Dataset2---Internal Testing,0,0.038803212,0
Dataset2---Internal Testing,0,0.085564006,0
Dataset2---Internal Testing,0,0.04726784,0
Dataset2---Internal Testing,0,0.067480869,0
Dataset2---Internal Testing,0,0.079339605,0
Dataset2---Internal Testing,0,0.078376271,0
Dataset2---Internal Testing,0,0.068528078,0
Dataset2---Internal Testing,1,0.9999,1
Dataset2---Internal Testing,1,0.930691207,1
Dataset2---Internal Testing,1,0.808747894,1
Dataset2---Internal Testing,1,0.9999,1
Dataset2---Internal Testing,1,0.9999,1
Dataset2---Internal Testing,1,0.812178209,1
Dataset2---Internal Testing,1,0.825338024,1
Dataset2---Internal Testing,1,0.9999,1
Dataset2---Internal Testing,1,0.833500969,1
Dataset2---Internal Testing,1,0.839291174,1
Dataset2---Internal Testing,1,0.735737027,1
Dataset2---Internal Testing,0,0.031042012,0
Dataset2---Internal Testing,0,0.151237613,0
Dataset2---Internal Testing,0,0.130585403,0
Dataset2---Internal Testing,0,0.038314415,0
Dataset2---Internal Testing,0,0.114439857,0
Dataset2---Internal Testing,0,0.102994974,0
Dataset2---Internal Testing,0,0.038335261,0
Dataset2---Internal Testing,0,0.095837393,0
Dataset2---Internal Testing,0,0.045804747,0
Dataset2---Internal Testing,0,0.293778288,0
Dataset2---Internal Testing,0,0.264724621,0
Dataset2---Internal Testing,0,0.159476459,0
Dataset2---Internal Testing,0,0.143048646,0
Dataset2---Internal Testing,0,0.092880953,0
Dataset2---Internal Testing,0,0.155205936,0
Dataset2---Internal Testing,0,0.104147553,0
Dataset2---Internal Testing,0,0.639988912,1
Dataset2---Internal Testing,0,0.552491129,1
Dataset2---Internal Testing,0,0.522321877,1
Dataset2---Internal Testing,0,0.178157578,0
Dataset2---Internal Testing,1,0.9999,1
Dataset2---Internal Testing,1,0.9999,1
Dataset2---Internal Testing,1,0.725185459,1
Dataset2---Internal Testing,0,0.684684489,1
Dataset2---Internal Testing,0,0.052142725,0
Dataset2---Internal Testing,0,0.02886449,0
Dataset2---Internal Testing,0,0.025105976,0
Dataset2---Internal Testing,0,0.255080988,0
Dataset2---Internal Testing,0,0.24728229,0
Dataset2---Internal Testing,0,0.22295483,0
Dataset2---Internal Testing,0,0.157816101,0
Dataset2---Internal Testing,0,0.13116272,0
Dataset2---Internal Testing,0,0.099831174,0
Dataset2---Internal Testing,0,0.094775663,0
Dataset2---Internal Testing,0,0.062030372,0
Dataset2---Internal Testing,0,0.70360593,1
Dataset2---Internal Testing,0,0.626756974,1
Dataset2---Internal Testing,0,0.618646004,1
Dataset2---Internal Testing,0,0.15464694,0
Dataset2---Internal Testing,1,0.9999,1
Dataset2---Internal Testing,1,0.94022656,1
