Dataset,true_labels,pred_probs,pred_labels
Dataset5---Proof-of-concept,1,0.707879078,1
Dataset5---Proof-of-concept,1,0.652940183,1
Dataset5---Proof-of-concept,1,0.621554757,1
Dataset5---Proof-of-concept,1,0.587669496,1
Dataset5---Proof-of-concept,0,0.012403433,0
Dataset5---Proof-of-concept,1,0.575543476,1
Dataset5---Proof-of-concept,1,0.786763628,1
Dataset5---Proof-of-concept,1,0.781469644,1
Dataset5---Proof-of-concept,0,0.2,0
Dataset5---Proof-of-concept,0,0.061537228,0
Dataset5---Proof-of-concept,1,0.649732474,1
Dataset5---Proof-of-concept,0,0.108135746,0
Dataset5---Proof-of-concept,0,0.16250277,0
Dataset5---Proof-of-concept,0,0.031593856,0
Dataset5---Proof-of-concept,0,0.043324388,0
Dataset5---Proof-of-concept,0,0.12656957,0
Dataset5---Proof-of-concept,1,0.556021786,1
Dataset5---Proof-of-concept,1,0.308311051,0
Dataset5---Proof-of-concept,0,0.072012555,0
Dataset5---Proof-of-concept,0,0.707556397,1
Dataset5---Proof-of-concept,0,0.068518184,0
Dataset5---Proof-of-concept,0,0.115730682,0
Dataset5---Proof-of-concept,0,0.073263908,0
Dataset5---Proof-of-concept,0,0.061755896,0
Dataset5---Proof-of-concept,0,0.01,0
Dataset5---Proof-of-concept,0,0.012683429,0
Dataset5---Proof-of-concept,0,0.01,0
Dataset5---Proof-of-concept,0,0.01,0
Dataset5---Proof-of-concept,0,0.046581143,0
Dataset5---Proof-of-concept,0,0.01,0
Dataset5---Proof-of-concept,0,0.01,0
Dataset5---Proof-of-concept,0,0.01,0
Dataset5---Proof-of-concept,0,0.01,0
Dataset5---Proof-of-concept,0,0.01,0
Dataset5---Proof-of-concept,0,0.01,0
Dataset5---Proof-of-concept,0,0.01,0
Dataset5---Proof-of-concept,0,0.01,0
Dataset5---Proof-of-concept,0,0.01,0
Dataset5---Proof-of-concept,0,0.01,0
Dataset5---Proof-of-concept,0,0.01,0
Dataset5---Proof-of-concept,0,0.01,0
Dataset5---Proof-of-concept,0,0.01,0
Dataset5---Proof-of-concept,0,0.051147876,0
Dataset5---Proof-of-concept,0,0.01,0
Dataset5---Proof-of-concept,0,0.089722132,0
Dataset5---Proof-of-concept,0,0.01,0
Dataset5---Proof-of-concept,0,0.01,0
Dataset5---Proof-of-concept,0,0.01,0
Dataset5---Proof-of-concept,0,0.017781441,0
Dataset5---Proof-of-concept,0,0.01,0
Dataset5---Proof-of-concept,0,0.028680906,0
Dataset5---Proof-of-concept,0,0.01,0
Dataset5---Proof-of-concept,0,0.762229669,1
Dataset5---Proof-of-concept,0,0.01,0
Dataset5---Proof-of-concept,0,0.01,0
Dataset5---Proof-of-concept,0,0.01,0
Dataset5---Proof-of-concept,0,0.01,0
Dataset5---Proof-of-concept,0,0.01,0
Dataset5---Proof-of-concept,0,0.01,0
Dataset5---Proof-of-concept,0,0.086219866,0
Dataset5---Proof-of-concept,0,0.01,0
Dataset5---Proof-of-concept,0,0.095171628,0
Dataset5---Proof-of-concept,1,0.546335718,1
Dataset5---Proof-of-concept,1,0.505679792,1
Dataset5---Proof-of-concept,0,0.01,0
Dataset5---Proof-of-concept,0,0.057686898,0
Dataset5---Proof-of-concept,0,0.156326748,0
Dataset5---Proof-of-concept,0,0.039498926,0
Dataset5---Proof-of-concept,1,0.666328953,1
