true_labels,Human1_Without_WCHFHPM,Human2_Without_WCHFHPM,Human3_Without_WCHFHPM,Human4_Without_WCHFHPM,Human5_Without_WCHFHPM,Human6_Without_WCHFHPM,Human7_Without_WCHFHPM,Human1_With_WCHFHPM,Human2_With_WCHFHPM,Human3_With_WCHFHPM,Human4_With_WCHFHPM,Human5_With_WCHFHPM,Human6_With_WCHFHPM,Human7_With_WCHFHPM
1,0,1,0,0,0,0,1,0,1,1,1,1,0,1
1,1,1,0,0,0,1,1,1,1,0,1,1,0,1
1,1,1,1,0,0,1,1,0,1,1,1,1,0,1
1,1,0,1,0,0,1,1,1,1,0,1,1,1,1
1,0,0,0,0,0,0,0,0,1,0,1,1,0,0
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
1,0,1,0,0,0,0,1,0,0,1,1,0,0,1
1,0,1,0,0,0,0,1,0,0,1,1,0,0,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
1,1,0,1,1,0,1,0,1,1,1,1,1,1,1
1,1,0,1,1,0,1,0,1,0,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,0,1,1,1,1,1,0,0,0,1,1,0,1,0
1,0,1,1,1,1,1,0,0,1,1,1,0,1,0
1,0,1,1,1,1,1,0,0,1,1,1,0,1,0
1,1,1,1,1,1,1,0,1,1,1,0,0,0,0
1,0,1,1,1,0,0,0,1,1,1,1,1,1,1
1,0,1,1,1,0,0,0,1,1,1,1,1,1,1
1,0,1,1,1,0,0,0,1,1,1,1,1,1,1
1,1,0,1,1,1,1,1,0,0,1,0,1,1,1
1,0,0,0,1,0,1,1,0,0,1,0,0,0,1
1,0,0,0,1,0,1,1,0,0,1,0,0,0,1
1,0,0,0,1,0,1,1,0,0,1,0,0,0,1
1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
1,1,0,0,1,1,1,1,1,0,1,1,1,0,1
1,0,0,1,1,1,1,1,1,1,1,1,1,1,1
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1
1,0,0,0,1,0,1,1,1,0,1,1,1,1,1
1,1,1,0,1,1,1,0,1,1,1,1,1,0,1
1,1,1,0,1,1,1,0,1,1,1,1,1,1,1
1,1,1,0,1,1,1,0,1,1,1,1,1,1,1
1,1,1,0,1,1,1,0,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,0,0,1,1,1,1,1,0,1,1,1,1,1
1,1,0,0,1,1,1,1,1,0,1,1,1,1,1
1,1,0,0,1,1,1,1,1,0,1,1,1,1,1
1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
1,0,1,0,0,1,1,1,1,0,1,1,1,1,1
1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
1,1,1,0,1,0,1,0,1,0,1,1,1,1,1
1,1,0,1,1,1,1,1,1,0,1,1,1,1,1
1,1,1,0,0,0,1,1,0,1,1,1,1,0,1
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
1,1,1,1,1,0,1,1,0,1,0,0,1,0,0
1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
1,0,1,0,0,1,0,1,1,1,1,1,1,0,1
1,0,1,0,0,1,0,1,1,1,1,1,1,0,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,0,1,1,1,0,0,1,1,0,0,0,0,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,1,1,0,0,0,0,1,0,0,0,0,0
0,0,1,1,1,0,0,0,0,1,0,0,0,0,0
0,0,1,1,1,0,0,0,0,1,0,0,0,0,0
0,0,1,1,1,0,0,0,0,1,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,1,0,0,0,0,0,0,1,0,1,0,0
0,0,1,1,1,0,0,0,0,1,0,0,1,0,0
0,0,1,1,1,0,0,0,0,1,0,0,1,0,0
0,0,1,1,1,0,0,0,0,1,0,0,1,0,0
0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
0,1,1,1,0,1,0,0,0,0,0,0,0,0,0
