Dataset,true_labels,TITAN,ABMIL,WCHFHPM
Dataset2---Internal Testing,1,0.997298772,0.51021421,0.9999
Dataset2---Internal Testing,1,0.99999981,0.040126946,0.9999
Dataset2---Internal Testing,1,0.996302492,0.00065636,0.9999
Dataset2---Internal Testing,1,0.999932092,0.733539104,0.9999
Dataset2---Internal Testing,1,0.999999689,0.786900878,0.9999
Dataset2---Internal Testing,1,0.999685183,0.663119614,0.9999
Dataset2---Internal Testing,1,0.999998043,0.785537004,0.9999
Dataset2---Internal Testing,1,0.99919292,0.804393709,0.9999
Dataset2---Internal Testing,1,0.999999908,0.880198836,0.9999
Dataset2---Internal Testing,1,0.999999895,0.820638835,0.9999
Dataset2---Internal Testing,1,0.999999992,0.838120759,0.9999
Dataset2---Internal Testing,1,0.999999988,0.801685512,0.9999
Dataset2---Internal Testing,1,0.999927795,0.838249624,0.9999
Dataset2---Internal Testing,1,0.999957257,0.764985681,0.9999
Dataset2---Internal Testing,1,0.999999738,0.741732955,0.9999
Dataset2---Internal Testing,1,0.999999301,0.781589746,0.9999
Dataset2---Internal Testing,1,0.999996988,0.743628442,0.9999
Dataset2---Internal Testing,1,0.880025994,0.816500306,0.9999
Dataset2---Internal Testing,1,0.999446686,0.004111239,0.9999
Dataset2---Internal Testing,1,0.999883181,0.859009743,0.9999
Dataset2---Internal Testing,1,0.999986919,0.846733809,0.9999
Dataset2---Internal Testing,1,0.999999875,0.003899035,0.9999
Dataset2---Internal Testing,1,0.999999585,0.130054876,0.9999
Dataset2---Internal Testing,1,0.999999993,0.754863918,0.9999
Dataset3---Multicenter,1,0.721850178,0.001276928,0.9999
Dataset3---Multicenter,1,0.999980856,0.755526543,0.9999
Dataset2---Internal Testing,1,0.999996364,0.005298209,0.99
Dataset2---Internal Testing,1,0.999866517,0.000320977,0.99
Dataset2---Internal Testing,1,0.99992551,0.800014198,0.981189933
Dataset2---Internal Testing,1,0.999999869,0.578230083,0.976209797
Dataset2---Internal Testing,1,0.999948903,0.041987624,0.976092322
Dataset2---Internal Testing,1,0.999996228,0.669460058,0.963110046
Dataset3---Multicenter,1,0.98807588,0.000795487,0.961355874
Dataset2---Internal Testing,1,0.730074749,0.00142635,0.948305852
Dataset2---Internal Testing,1,0.999613335,0.000733054,0.94022656
Dataset2---Internal Testing,1,0.999984617,0.315283626,0.936748486
Dataset2---Internal Testing,1,0.999989552,0.000445363,0.936071365
Dataset2---Internal Testing,1,0.999906077,0.000541784,0.935083295
Dataset2---Internal Testing,0,0.459496748,0.6439749,0.059138426
Dataset2---Internal Testing,1,0.999993557,0.001151151,0.933829101
Dataset2---Internal Testing,0,0.000959398,0.662496507,0.034223562
Dataset2---Internal Testing,0,0.138430451,0.654446661,0.066237014
Dataset2---Internal Testing,0,0.018382489,0.652076602,0.092582366
Dataset2---Internal Testing,0,0.999955162,0.59791708,0.065828864
Dataset2---Internal Testing,0,0.998779654,0.709396958,0.25805429
Dataset2---Internal Testing,0,0.997719339,0.60259974,0.055403151
Dataset2---Internal Testing,0,0.033262002,0.535717666,0.135663843
Dataset2---Internal Testing,0,0.110032945,0.653017402,0.165507821
Dataset2---Internal Testing,0,0.055647488,0.828227043,0.089358548
Dataset2---Internal Testing,0,0.196031292,0.654746711,0.064254564
Dataset2---Internal Testing,0,0.001975944,0.577204764,0.038521404
Dataset2---Internal Testing,0,0.835460897,0.680169225,0.121506435
Dataset2---Internal Testing,0,0.187002366,0.0008268,0.079534044
Dataset2---Internal Testing,0,0.030881331,0.001525582,0.062030372
Dataset2---Internal Testing,0,0.734081972,0.174315616,0.064365773
Dataset2---Internal Testing,0,0.021496285,0.365271807,0.04321105
Dataset2---Internal Testing,0,0.002384501,0.282420635,0.045880338
