"GROUP","Group","Sensitivity","Specificity","PPV","NPV","Brier_Score","AUROC"
"Hamamatsu","Hamamatsu","0.929 (0.819-0.977)","0.859 (0.752-0.927)","0.839 (0.719-0.916)","0.938 (0.842-0.980)","0.110 (0.055-0.165)","0.894 (0.841-0.947)"
"KF-PRO-400-HI","KF-PRO-400-HI","0.929 (0.819-0.977)","0.845 (0.735-0.916)","0.825 (0.705-0.906)","0.938 (0.840-0.980)","0.118 (0.063-0.173)","0.887 (0.832-0.941)"
"PRCC<50","PRCC<50","0.864 (0.745-0.936)","0.915 (0.849-0.955)","0.823 (0.701-0.904)","0.937 (0.875-0.970)","0.101 (0.059-0.149)","0.890 (0.839-0.940)"
"PRCC>=50","PRCC>=50","0.912 (0.752-0.977)","0.920 (0.838-0.965)","0.816 (0.651-0.917)","0.964 (0.892-0.991)","0.082 (0.041-0.131)","0.916 (0.860-0.972)"
"Predicting FH-dRCC from High-accuracy slides","Predicting FH-dRCC from High-accuracy slides","0.871 (0.765-0.936)","0.921 (0.870-0.953)","0.803 (0.692-0.882)","0.951 (0.906-0.976)","0.093 (0.058-0.127)","0.896 (0.852-0.940)"
"Predicting FH-dRCC from Low-accuracy slides","Predicting FH-dRCC from Low-accuracy slides","0.913 (0.705-0.985)","0.893 (0.706-0.972)","0.875 (0.665-0.967)","0.926 (0.742-0.987)","0.098 (0.020-0.176)","0.903 (0.820-0.986)"
"Predicting FH-dRCC with retained FH protein","Predicting FH-dRCC with retained FH protein","1.000 (0.870-1.000)","0.953 (0.936-0.966)","0.465 (0.347-0.586)","1.000 (0.994-1.000)","0.045 (0.032-0.059)","0.977 (0.969-0.984)"
"Predicting FH-dRCC without retained FH protein","Predicting FH-dRCC without retained FH protein","0.911 (0.852-0.949)","0.953 (0.936-0.966)","0.790 (0.722-0.845)","0.982 (0.970-0.990)","0.054 (0.039-0.069)","0.932 (0.908-0.955)"
"Predicting germline FH-dRCC","Predicting germline FH-dRCC","0.950 (0.890-0.980)","0.953 (0.936-0.966)","0.750 (0.672-0.815)","0.992 (0.982-0.997)","0.047 (0.034-0.061)","0.952 (0.931-0.972)"
"Predicting somatic FH-dRCC","Predicting somatic FH-dRCC","0.894 (0.788-0.953)","0.953 (0.936-0.966)","0.608 (0.504-0.704)","0.991 (0.981-0.996)","0.051 (0.037-0.065)","0.924 (0.885-0.962)"
"Slides of good quality","Slides of good quality","0.891 (0.782-0.951)","0.932 (0.881-0.963)","0.826 (0.712-0.903)","0.959 (0.914-0.982)","0.079 (0.046-0.112)","0.911 (0.868-0.954)"
"Slides of poor quality","Slides of poor quality","0.900 (0.541-0.995)","0.846 (0.643-0.950)","0.692 (0.389-0.896)","0.957 (0.760-0.998)","0.139 (0.028-0.250)","0.873 (0.752-0.994)"
"biopsy specimens","biopsy specimens","0.700 (0.354-0.919)","0.919 (0.770-0.979)","0.700 (0.354-0.919)","0.919 (0.770-0.979)","0.128 (0.043-0.213)","0.809 (0.653-0.966)"
