"Reader","Sensitivity","P_Sens","Specificity","P_Spec","PPV","P_PPV","NPV","P_NPV","AUROC","P_AUC"
"pred_labels_AI_model","0.882 (0.794-0.937)","Ref.","0.917 (0.870-0.949)","Ref.","0.820 (0.728-0.887)","Ref.","0.948 (0.906-0.972)","Ref.","0.899 (0.862-0.937)","Ref."
"pred_labels_Junior.pathologist.1","0.591 (0.484-0.691)","< 0.001","0.788 (0.726-0.839)","< 0.001","0.545 (0.443-0.643)","< 0.001","0.818 (0.758-0.867)","< 0.001","0.690 (0.633-0.747)","< 0.001"
"pred_labels_Junior.pathologist.2","0.613 (0.506-0.710)","< 0.001","0.751 (0.687-0.806)","< 0.001","0.514 (0.417-0.609)","< 0.001","0.819 (0.757-0.869)","< 0.001","0.682 (0.625-0.740)","< 0.001"
"pred_labels_Junior.pathologist.3","0.602 (0.495-0.701)","< 0.001","0.594 (0.526-0.660)","< 0.001","0.389 (0.310-0.474)","< 0.001","0.777 (0.705-0.836)","< 0.001","0.598 (0.539-0.658)","< 0.001"
"pred_labels_Junior.pathologist.4","0.774 (0.674-0.852)","0.055","0.618 (0.549-0.682)","< 0.001","0.465 (0.385-0.546)","< 0.001","0.865 (0.798-0.912)","< 0.001","0.696 (0.642-0.749)","< 0.001"
"pred_labels_Senior.pathologist.1","0.677 (0.571-0.769)","0.002","0.880 (0.828-0.919)","0.280","0.708 (0.600-0.797)","0.042","0.864 (0.810-0.905)","< 0.001","0.779 (0.726-0.831)","< 0.001"
"pred_labels_Senior.pathologist.2","0.710 (0.605-0.797)","0.008","0.899 (0.849-0.934)","0.607","0.750 (0.644-0.834)","0.176","0.878 (0.826-0.917)","0.008","0.804 (0.754-0.855)","0.003"
"pred_labels_Senior.pathologist.3","0.731 (0.628-0.815)","0.026","0.770 (0.707-0.823)","< 0.001","0.576 (0.482-0.666)","< 0.001","0.870 (0.812-0.912)","0.002","0.750 (0.697-0.804)","< 0.001"
"Average (Junior pathologists)","0.645","-","0.688","-","0.478","-","0.820","-","0.666","-"
"Average (Senior pathologists)","0.706","-","0.850","-","0.678","-","0.871","-","0.778","-"
"Average (All pathologists)","0.671","-","0.757","-","0.564","-","0.842","-","0.714","-"
