"Group","Strategy","Sensitivity","P_Sens","Specificity","P_Spec","PPV","P_PPV","NPV","P_NPV","AUROC","P_AUC","Brier_Score","P_Brier"
"Junior pathologist 1","Modified strategy","0.763 (0.662-0.843)","0.003","0.866 (0.812-0.907)","0.028","0.710 (0.609-0.794)","0.004","0.895 (0.844-0.932)","< 0.001","0.815 (0.766-0.864)","< 0.001","0.165 (0.126-0.207)","< 0.001"
"Junior pathologist 1","Without AI","0.591 (0.484-0.691)","Ref.","0.788 (0.726-0.839)","Ref.","0.545 (0.443-0.643)","Ref.","0.818 (0.758-0.867)","Ref.","0.690 (0.633-0.747)","Ref.","0.271 (0.223-0.316)","Ref."
"Junior pathologist 2","Modified strategy","0.710 (0.605-0.797)","0.164","0.853 (0.797-0.896)","0.002","0.673 (0.570-0.763)","< 0.001","0.873 (0.818-0.913)","0.030","0.781 (0.729-0.833)","0.004","0.190 (0.148-0.235)","< 0.001"
"Junior pathologist 2","Without AI","0.613 (0.506-0.710)","Ref.","0.751 (0.687-0.806)","Ref.","0.514 (0.417-0.609)","Ref.","0.819 (0.757-0.869)","Ref.","0.682 (0.625-0.740)","Ref.","0.290 (0.239-0.339)","Ref."
"Junior pathologist 3","Modified strategy","0.914 (0.833-0.959)","< 0.001","0.912 (0.865-0.945)","< 0.001","0.817 (0.727-0.884)","< 0.001","0.961 (0.922-0.982)","< 0.001","0.913 (0.879-0.948)","< 0.001","0.087 (0.058-0.119)","< 0.001"
"Junior pathologist 3","Without AI","0.602 (0.495-0.701)","Ref.","0.594 (0.526-0.660)","Ref.","0.389 (0.310-0.474)","Ref.","0.777 (0.705-0.836)","Ref.","0.598 (0.539-0.658)","Ref.","0.403 (0.348-0.461)","Ref."
"Junior pathologist 4","Modified strategy","0.914 (0.833-0.959)","0.021","0.977 (0.944-0.991)","< 0.001","0.944 (0.869-0.979)","< 0.001","0.964 (0.927-0.983)","< 0.001","0.945 (0.915-0.976)","< 0.001","0.042 (0.023-0.065)","< 0.001"
"Junior pathologist 4","Without AI","0.774 (0.674-0.852)","Ref.","0.618 (0.549-0.682)","Ref.","0.465 (0.385-0.546)","Ref.","0.865 (0.798-0.912)","Ref.","0.696 (0.642-0.749)","Ref.","0.335 (0.281-0.390)","Ref."
"Senior pathologist 1","Modified strategy","0.892 (0.807-0.944)","< 0.001","0.908 (0.859-0.941)","0.405","0.806 (0.714-0.875)","0.056","0.952 (0.910-0.975)","< 0.001","0.900 (0.863-0.937)","< 0.001","0.097 (0.065-0.129)","< 0.001"
"Senior pathologist 1","Without AI","0.677 (0.571-0.769)","Ref.","0.880 (0.828-0.919)","Ref.","0.708 (0.600-0.797)","Ref.","0.864 (0.810-0.905)","Ref.","0.779 (0.726-0.831)","Ref.","0.181 (0.142-0.223)","Ref."
"Senior pathologist 2","Modified strategy","0.742 (0.639-0.825)","0.700","0.968 (0.932-0.986)","0.002","0.908 (0.814-0.959)","0.002","0.897 (0.849-0.932)","0.362","0.855 (0.809-0.901)","0.090","0.100 (0.068-0.132)","0.008"
"Senior pathologist 2","Without AI","0.710 (0.605-0.797)","Ref.","0.899 (0.849-0.934)","Ref.","0.750 (0.644-0.834)","Ref.","0.878 (0.826-0.917)","Ref.","0.804 (0.754-0.855)","Ref.","0.158 (0.119-0.200)","Ref."
"Senior pathologist 3","Modified strategy","0.871 (0.782-0.929)","0.004","0.839 (0.781-0.884)","0.005","0.698 (0.605-0.778)","< 0.001","0.938 (0.892-0.966)","< 0.001","0.855 (0.813-0.897)","< 0.001","0.152 (0.113-0.190)","< 0.001"
"Senior pathologist 3","Without AI","0.731 (0.628-0.815)","Ref.","0.770 (0.707-0.823)","Ref.","0.576 (0.482-0.666)","Ref.","0.870 (0.812-0.912)","Ref.","0.750 (0.697-0.804)","Ref.","0.242 (0.197-0.287)","Ref."
